# Mentions of answer-bearing tokens left in the archived STATE logs.
# Every line must be justified as genuine output of the project under
# test; a justification still reading TODO fails the gate.
# log	token	count	justification
STATE-FIXED.log	emoji	8	Test titles printed by mocha itself. The 8 hits in the passing states are 6 lines for the Emoji.random and Emoji.icon groups generated by reflection through eachModuleFunction in test/fake-functions-interface-validation.js, plus the two lines muenchhausen emojis and should render 3 fake emojis! from test/spec.emoji.js; the 2 extra hits in STATE-NEW are the same test title reprinted in the final failure summary. These are the downstream project's own module and test names, so removing them would rewrite its test suite; the library name node-emoji never appears in any state.
STATE-FIXED.log	name	13	All from other test titles unrelated to this change: the Person.firstname, Person.lastname and Company.name groups with 3 lines each, plus muenchhausen weekday name, muenchhausen month name and its two should render a month name tests. Counts are identical in all three states and do not change with the upgrade; the answer field name res.name never appears in any state.
STATE-FIXED.log	node	4	The 4 hits in the passing states all come from the two command lines echoed by npm run, node node_modules/eslint/bin/eslint.js ./lib and node node_modules/mocha/bin/_mocha, each containing node and node_modules once. The 3 extra hits in STATE-NEW come from failure stack frames, two lines of node_modules/should/cjs/should.js and one node:internal/timers, all locations inside should and the node runtime, with no frame inside the triggering library; the library name node-emoji never appears in any state.
STATE-FIXED.log	random	30	Test titles printed by mocha itself. The downstream fake modules have seven functions named random (Date.random, Emoji.random, Number.random, Time.random, Decimal.random, Boolean.random, Address.random) plus Random.element, and reflection generates a pair of tests for each, 24 lines including their heading lines; there are also should render random data!, should fail to render random data!, muenchhausen random, should render 3 random items! and two tests that read a random line. The 2 extra hits in STATE-NEW are the Emoji.random title reprinted in the final failure summary. These are the downstream's own module and test names, distinct from the triggering library's same-named emoji.random, so removing them would rewrite its test suite.
STATE-NEW.log	emoji	10	Test titles printed by mocha itself. The 8 hits in the passing states are 6 lines for the Emoji.random and Emoji.icon groups generated by reflection through eachModuleFunction in test/fake-functions-interface-validation.js, plus the two lines muenchhausen emojis and should render 3 fake emojis! from test/spec.emoji.js; the 2 extra hits in STATE-NEW are the same test title reprinted in the final failure summary. These are the downstream project's own module and test names, so removing them would rewrite its test suite; the library name node-emoji never appears in any state.
STATE-NEW.log	name	13	All from other test titles unrelated to this change: the Person.firstname, Person.lastname and Company.name groups with 3 lines each, plus muenchhausen weekday name, muenchhausen month name and its two should render a month name tests. Counts are identical in all three states and do not change with the upgrade; the answer field name res.name never appears in any state.
STATE-NEW.log	node	7	The 4 hits in the passing states all come from the two command lines echoed by npm run, node node_modules/eslint/bin/eslint.js ./lib and node node_modules/mocha/bin/_mocha, each containing node and node_modules once. The 3 extra hits in STATE-NEW come from failure stack frames, two lines of node_modules/should/cjs/should.js and one node:internal/timers, all locations inside should and the node runtime, with no frame inside the triggering library; the library name node-emoji never appears in any state.
STATE-NEW.log	random	32	Test titles printed by mocha itself. The downstream fake modules have seven functions named random (Date.random, Emoji.random, Number.random, Time.random, Decimal.random, Boolean.random, Address.random) plus Random.element, and reflection generates a pair of tests for each, 24 lines including their heading lines; there are also should render random data!, should fail to render random data!, muenchhausen random, should render 3 random items! and two tests that read a random line. The 2 extra hits in STATE-NEW are the Emoji.random title reprinted in the final failure summary. These are the downstream's own module and test names, distinct from the triggering library's same-named emoji.random, so removing them would rewrite its test suite.
STATE-OLD.log	emoji	8	Test titles printed by mocha itself. The 8 hits in the passing states are 6 lines for the Emoji.random and Emoji.icon groups generated by reflection through eachModuleFunction in test/fake-functions-interface-validation.js, plus the two lines muenchhausen emojis and should render 3 fake emojis! from test/spec.emoji.js; the 2 extra hits in STATE-NEW are the same test title reprinted in the final failure summary. These are the downstream project's own module and test names, so removing them would rewrite its test suite; the library name node-emoji never appears in any state.
STATE-OLD.log	name	13	All from other test titles unrelated to this change: the Person.firstname, Person.lastname and Company.name groups with 3 lines each, plus muenchhausen weekday name, muenchhausen month name and its two should render a month name tests. Counts are identical in all three states and do not change with the upgrade; the answer field name res.name never appears in any state.
STATE-OLD.log	node	4	The 4 hits in the passing states all come from the two command lines echoed by npm run, node node_modules/eslint/bin/eslint.js ./lib and node node_modules/mocha/bin/_mocha, each containing node and node_modules once. The 3 extra hits in STATE-NEW come from failure stack frames, two lines of node_modules/should/cjs/should.js and one node:internal/timers, all locations inside should and the node runtime, with no frame inside the triggering library; the library name node-emoji never appears in any state.
STATE-OLD.log	random	30	Test titles printed by mocha itself. The downstream fake modules have seven functions named random (Date.random, Emoji.random, Number.random, Time.random, Decimal.random, Boolean.random, Address.random) plus Random.element, and reflection generates a pair of tests for each, 24 lines including their heading lines; there are also should render random data!, should fail to render random data!, muenchhausen random, should render 3 random items! and two tests that read a random line. The 2 extra hits in STATE-NEW are the Emoji.random title reprinted in the final failure summary. These are the downstream's own module and test names, distinct from the triggering library's same-named emoji.random, so removing them would rewrite its test suite.
